State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
74	0.55444	0.54929	0.56212	0.53389	0.47613	0.50565	0.49539	0.46587	0.44790	0.44662	0.42737	0.36063	0.33753	0.40170	0.42223	0.42737	0.38501	0.42226	0.45050	0.50826	0.48259
75	0.33008	0.32293	0.30722	0.29866	0.30246	0.29223	0.28390	0.28081	0.27248	0.25178	0.22060	0.22417	0.23226	0.23536	0.24131	0.27581	0.29675	0.29130	0.28797	0.28868	0.29868
76	0.34620	0.28950	0.27533	0.26926	0.26521	0.22067	0.20447	0.17613	0.18018	0.15994	0.10932	0.13362	0.16398	0.17208	0.19840	0.22269	0.18423	0.18222	0.17412	0.19437	0.20044
77	1.46604	1.43752	1.42329	1.29519	1.19556	0.86821	0.91091	0.78281	0.83974	1.40906	1.43752	1.48022	1.26673	0.91091	0.69741	0.52662	0.55508	0.66899	0.69746	0.86827	0.78287
78	2.22953	2.57244	2.05796	2.57244	2.65819	2.22945	1.97221	2.65819	1.88646	4.37316	5.83087	4.11591	3.51567	3.25843	3.42993	3.94442	3.25843	3.00140	3.25866	3.17291	3.08716
79	0.36644	0.50384	0.30536	0.29009	0.24429	0.19848	0.19848	0.13741	0.16795	0.13741	0.18322	0.12214	0.16795	0.18322	0.13741	0.16795	0.19848	0.25957	0.47334	0.45807	0.62603
80	0.53705	0.39571	0.48050	0.28265	0.25438	0.14132	0.19785	0.19785	0.16959	0.22612	0.22612	0.36744	0.36744	0.31091	0.22612	0.50877	0.39571	0.42400	0.81974	1.13068	1.24375
81	0.51860	0.51858	0.44598	0.46672	0.36301	0.36301	0.33189	0.38375	0.34226	0.39412	0.42524	0.51858	0.59118	0.57044	0.62230	0.53933	0.56007	0.59123	0.54974	0.62234	0.67420
82	0.86812	0.72341	0.83192	0.54256	0.68724	0.47021	0.36170	0.39787	0.36170	0.32553	0.43404	0.57873	0.47021	0.43404	0.57873	0.43404	0.39787	0.47025	0.68729	0.90432	1.26605
83	1.80791	1.72473	1.51990	1.43975	1.26757	0.86385	0.68277	0.46309	0.27608	0.24639	0.15733	0.18405	0.22264	0.27904	0.33545	0.38888	0.46309	0.57594	0.65907	0.73922	0.78078
84	5.08450	5.34147	5.30473	4.72430	4.07039	3.57812	2.36582	1.56497	0.83024	0.49961	0.47023	0.38941	0.42614	0.58778	0.73473	1.11679	1.57232	1.91778	2.15291	2.47621	2.47621
85	8.58977	9.10710	10.40118	10.77323	11.30704	11.08057	9.89972	7.95860	4.83663	2.41023	1.35879	1.32643	2.21611	2.96021	4.51311	5.85572	7.37626	7.79740	8.18565	8.67097	8.89745
86	7.49154	7.46373	8.17981	9.11622	10.71362	13.27498	13.88089	14.92747	14.45926	10.87887	8.73064	8.86835	10.32804	14.23893	17.13078	19.27902	18.72819	17.07693	15.67221	13.71663	12.53226
87	4.30389	4.82919	5.32963	6.08028	7.18123	8.75760	12.48584	16.71451	24.04587	33.27889	36.45665	37.98297	39.88462	37.28237	31.62746	25.47211	19.19166	15.11421	11.18551	8.23274	6.68128
88	5.64335	6.77935	7.49895	7.83981	9.61986	11.21055	13.02848	17.04307	15.98261	10.37733	7.95343	8.18067	10.33946	16.66433	19.61846	20.94403	23.48156	24.31652	22.19545	20.41527	17.65031
89	3.50833	3.63261	4.60296	5.42403	5.87189	6.56855	7.86236	8.40974	6.22022	2.93594	1.16940	2.18952	4.17999	6.46903	9.95235	15.07781	19.23292	20.87656	21.20003	20.80191	21.72257
90	0.64575	0.72330	0.80088	0.73928	0.73015	0.74156	0.63204	0.44950	0.31031	0.14831	0.12093	0.13462	0.18254	0.21220	0.26696	0.29434	0.38333	0.43812	0.49973	0.52711	0.55221
91	0.33033	0.44042	0.53314	0.39406	0.33031	0.41144	0.42883	0.39985	0.38247	0.32452	0.29554	0.20862	0.20862	0.20862	0.28975	0.25498	0.28975	0.22602	0.28977	0.31295	0.27238
92	0.33191	0.30315	0.26134	0.24827	0.24304	0.25611	0.21952	0.22214	0.21168	0.19862	0.13067	0.19339	0.16726	0.21691	0.20646	0.23520	0.18032	0.18818	0.20124	0.26136	0.26920
93	1.25184	1.18760	1.21970	1.02712	1.05921	1.30529	1.28389	1.41228	1.57277	1.38019	1.32669	1.59417	1.52997	1.61557	1.46578	1.51928	1.52997	1.67988	1.78688	1.87248	1.94738
94	0.70202	0.60381	0.68236	0.61854	0.68727	0.59891	0.62345	0.57927	0.45654	0.29945	0.23563	0.24054	0.32891	0.33873	0.49582	0.43200	0.46636	0.43694	0.48112	0.57440	0.65786
95	0.73915	0.89941	0.86379	0.95284	0.92613	0.80146	0.74802	0.61445	0.67678	0.59664	0.72131	0.73912	0.45416	0.52540	0.52540	0.56102	0.57883	0.56106	0.53434	0.56996	0.54325
96	0.54538	0.45120	0.47474	0.43550	0.42766	0.43943	0.37273	0.35703	0.29818	0.29818	0.27856	0.24718	0.26287	0.27856	0.29818	0.29818	0.29818	0.34529	0.34529	0.27858	0.37275
97	5.45776	5.39520	5.62389	5.16650	4.52198	3.80470	2.40133	1.63207	1.04993	0.89400	0.84202	0.74847	0.63412	0.77965	0.70688	0.87321	0.98756	1.47625	1.71536	1.85051	1.65298
98	4.52433	5.10946	5.33093	6.34333	6.45406	6.40660	5.94786	3.57504	2.57846	2.15135	2.30954	2.59428	2.70501	2.46773	2.79992	3.60668	4.52417	5.18893	5.56861	5.80591	6.31214
99	3.25688	3.46464	3.52239	3.41845	3.10663	2.65622	1.69767	1.18953	0.86616	0.45040	0.43885	0.71603	1.08559	1.24727	1.36276	1.54754	2.27511	2.85276	3.14150	3.37249	3.67278
100	3.06996	3.10961	3.21300	3.04599	2.38589	1.82918	1.33610	0.88676	0.53285	0.34198	0.22666	0.31414	0.40560	0.50104	0.54876	0.64817	0.94243	1.14133	1.12940	1.19303	1.18906
