state (Emission order)	Genome %	ENCFF024JOZ_kidney.bed.gz	ENCFF033UQX_testis.bed.gz	ENCFF052KVO_E14TG2a.4.bed.gz	ENCFF065ODV_MEL.bed.gz	ENCFF086ZTV_olfactory-bulb.bed.gz	ENCFF089EWX_spleen.bed.gz	ENCFF089GBC_midbrain.bed.gz	ENCFF092NMJ_hindbrain.bed.gz	ENCFF097CAQ_bone-marrow.bed.gz	ENCFF136ZDK_liver.bed.gz	ENCFF142CNG_MEL.bed.gz	ENCFF143RZH_layer-of-hippocampus.bed.gz	ENCFF165LXO_lung.bed.gz	ENCFF194HVL_liver.bed.gz	ENCFF198SSR_lung.bed.gz	ENCFF210BTO_small-intestine.bed.gz	ENCFF281QMV_brain.bed.gz	ENCFF316FYN_cerebellum.bed.gz	ENCFF327LYS_intestine.bed.gz	ENCFF349BUL_thymus.bed.gz	ENCFF388VCL_left-cerebral-cortex.bed.gz	ENCFF430PPJ_forebrain.bed.gz	ENCFF491RJK_lung.bed.gz	ENCFF502WDT_MEL.bed.gz	ENCFF504JDS_CH12.LX.bed.gz	ENCFF575MGI_cortical-plate.bed.gz	ENCFF589ZBJ_liver.bed.gz	ENCFF601JVE_G1E.bed.gz	ENCFF609MDN_heart.bed.gz	ENCFF611HDQ_embryonic-fibroblast.bed.gz	ENCFF637GEK_heart.bed.gz	ENCFF649JAA_gastrocnemius.bed.gz	ENCFF660HRL_heart.bed.gz	ENCFF680EMQ_gastrocnemius.bed.gz	ENCFF784ASD_C2C12.bed.gz	ENCFF805QBU_bone-marrow-macrophage.bed.gz	ENCFF883UPM_CH12.LX.bed.gz	ENCFF907XEG_stomach.bed.gz	ENCFF921ILM_layer-of-hippocampus.bed.gz	ENCFF951GOP_heart.bed.gz	ENCFF957SPH_kidney.bed.gz	ENCFF999RIN_left-cerebral-cortex.bed.gz
11	0.40697	0.78198	0.08196	0.35212	0.23277	0.03033	0.01134	0.24886	0.20746	0.05985	0.40621	0.10143	0.32623	0.35791	0.91309	0.58351	1.19060	0.04725	0.10779	1.91381	0.02074	0.19956	0.15532	0.09496	0.28368	0.22326	0.03499	0.66808	0.13032	0.12355	0.09959	0.21347	0.19113	0.33729	0.05608	0.01440	0.14323	0.61512	0.95883	0.37907	0.18005	0.57745	0.39271
12	0.86635	0.38525	0.01195	0.17930	0.10458	0.00410	0.00038	0.15142	0.13257	0.01055	0.13075	0.02347	0.31029	0.11748	0.33346	0.16816	0.19926	0.02740	0.03262	0.68238	0.00342	0.19879	0.08851	0.01611	0.15371	0.12594	0.02518	0.29097	0.03967	0.07418	0.08045	0.15146	0.16929	0.24863	0.04684	0.00620	0.05457	0.39303	0.35384	0.34283	0.10164	0.21100	0.35231
13	0.43227	3.51054	0.50850	1.14377	0.60346	0.15897	0.10278	2.61884	2.83742	0.45841	1.26969	0.75164	2.46709	3.51250	2.14437	4.66800	1.17790	1.54901	1.32191	3.29517	0.07631	2.92654	2.41377	2.07666	1.50071	0.75044	2.83320	2.75940	0.17252	4.06753	1.02428	3.11076	3.17724	3.30908	2.26434	0.77297	0.55827	3.10885	3.64854	2.56237	4.06374	2.41863	2.70727
14	0.89585	1.00293	0.05197	0.34195	0.18650	0.01068	0.00415	0.74264	0.66310	0.02548	0.22708	0.08251	0.85052	0.87408	0.30129	1.22568	0.13504	0.16019	0.15477	0.89620	0.01339	0.78266	0.51726	0.22058	0.47114	0.23970	0.34361	0.53069	0.04067	0.71143	0.14672	0.79166	0.77947	0.94719	0.45600	0.03486	0.10855	0.95339	1.11834	0.86750	0.55332	0.26751	0.88851
15	2.78587	0.23951	0.00909	0.11582	0.04899	0.00090	0.00000	0.20575	0.14125	0.00140	0.04204	0.01439	0.27513	0.13739	0.02982	0.14452	0.02867	0.02612	0.03140	0.18555	0.00179	0.17975	0.09327	0.00914	0.10585	0.08165	0.02426	0.07620	0.01886	0.09520	0.06304	0.16225	0.15812	0.24746	0.04848	0.00192	0.02094	0.27189	0.23399	0.30820	0.06501	0.03082	0.30394
16	0.39554	0.51745	0.02192	0.11542	0.10445	0.01447	0.00978	0.37043	0.37937	0.02947	0.09400	0.02180	0.45639	0.56184	0.05857	0.78737	0.07614	0.04785	0.06281	0.61064	0.02419	0.28429	0.25576	0.06544	0.09408	0.11918	0.05951	0.18358	0.06237	0.22113	0.12705	0.38421	0.33958	0.63367	0.10138	0.02284	0.11304	0.29741	0.65750	0.48736	0.20094	0.08701	0.51258
17	0.23522	1.67181	0.65821	0.71513	0.87206	0.44418	0.39126	1.21633	1.63998	1.36809	1.57504	0.57072	1.47142	1.39557	1.75318	2.74245	1.65238	0.54023	1.44646	2.20056	1.25238	1.23530	1.17713	1.36695	0.92688	0.60625	0.85833	1.86647	0.36335	1.92571	0.47161	1.77073	1.56752	2.28705	0.97218	0.29195	1.64108	1.47911	2.01659	1.49748	1.73574	1.81129	1.62891
18	0.36244	0.58974	0.06307	0.38886	0.45464	0.01882	0.03317	0.56284	0.50059	0.07863	0.48170	0.14078	0.83494	0.30335	0.21417	0.71191	0.24048	0.04816	0.19344	0.82890	0.04006	0.57651	0.44542	0.11971	0.63285	0.25733	0.10646	0.66468	0.15815	0.29937	0.12488	0.44983	0.48658	0.71203	0.17652	0.01824	0.33339	0.80096	0.68117	0.92116	0.20429	0.26938	0.86568
19	0.74801	0.43817	0.01732	0.36263	0.30541	0.00541	0.00553	0.35723	0.25179	0.02193	0.33820	0.07681	0.75475	0.19060	0.05700	0.41337	0.12094	0.03112	0.10541	0.52907	0.02451	0.54364	0.21068	0.02298	0.51954	0.17626	0.04141	0.40511	0.06044	0.09461	0.07054	0.42855	0.40966	0.67197	0.12123	0.00731	0.15153	0.69751	0.45303	0.85159	0.10097	0.08171	0.85290
20	2.31840	0.20336	0.00657	0.18183	0.10976	0.00193	0.00032	0.17864	0.09289	0.00232	0.10178	0.02369	0.55281	0.07641	0.02506	0.11655	0.04611	0.00734	0.08303	0.18709	0.00385	0.29418	0.07719	0.00428	0.22452	0.05848	0.01043	0.11741	0.01515	0.02473	0.03650	0.19052	0.23727	0.40604	0.05085	0.00181	0.02926	0.34205	0.17800	0.62177	0.02665	0.01880	0.62910
21	0.96314	0.40627	0.01478	0.38777	0.32558	0.01352	0.00872	0.34729	0.24021	0.01558	0.31126	0.05975	0.86643	0.16349	0.04451	0.26087	0.12255	0.04586	0.08992	0.38401	0.01712	0.55003	0.18174	0.01163	0.56838	0.13989	0.04707	0.29280	0.03758	0.06689	0.04803	0.36470	0.45956	0.63454	0.11533	0.00156	0.09471	0.57170	0.36866	0.94889	0.08479	0.07086	0.99870
22	1.06767	0.40971	0.02753	0.29705	0.23633	0.01135	0.00135	0.39398	0.24477	0.02777	0.25559	0.05531	0.82414	0.16101	0.04553	0.28586	0.09578	0.03815	0.06771	0.41080	0.00922	0.50163	0.23106	0.01906	0.55137	0.11593	0.03985	0.30338	0.03962	0.08550	0.02768	0.32021	0.40465	0.61509	0.08099	0.00340	0.07415	0.59273	0.39889	0.89090	0.08041	0.07624	0.97182
23	0.96364	0.37160	0.02553	0.35901	0.28586	0.01009	0.00684	0.39658	0.24433	0.01468	0.27421	0.08129	0.75488	0.14313	0.03755	0.25329	0.07953	0.03621	0.04269	0.40662	0.02248	0.45633	0.20858	0.01629	0.56315	0.12209	0.02666	0.29595	0.04261	0.07435	0.03180	0.30913	0.36398	0.55272	0.07931	0.00370	0.06140	0.48866	0.40144	0.80766	0.08207	0.07711	0.87203
24	0.90562	0.45341	0.05699	0.55003	0.58171	0.03753	0.00788	0.49261	0.38335	0.09626	0.43811	0.21260	0.65941	0.26801	0.10969	0.37373	0.12588	0.12464	0.12331	0.55905	0.04867	0.44457	0.34134	0.05340	0.62049	0.25161	0.12548	0.45967	0.12810	0.17377	0.05919	0.35595	0.41698	0.52481	0.14052	0.00347	0.18342	0.57632	0.50831	0.71674	0.18391	0.16469	0.71812
25	0.62256	1.13386	0.36401	1.04455	0.89323	0.19014	0.09159	1.09329	0.98777	0.25356	0.96283	0.55717	1.19408	0.71501	0.44703	1.07803	0.44340	0.33081	0.44034	1.24649	0.20186	1.02801	0.82556	0.18913	1.26821	0.49057	0.42406	1.04064	0.33926	0.53274	0.22871	0.81713	0.96794	1.01529	0.44244	0.02434	0.43209	1.34871	1.21623	1.24070	0.44228	0.48409	1.31549
